run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,G_xy,E_eff,nu_eff,G_eff
STEEP_z955_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0584,0.045,0.02,0.0384,2.2e9,0.55,Gmsh,Lesicar,Z,Yes,0.2176,3876141660.2335625,0.37375918961697085,0.024468816809315896,0.12194139789883551,0.3617321086379621,0.386200925447278,1401770348.3433552,3876141660.2335625,0.37375918961697085,1401770348.3433552
STEEP_z955_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0584,0.045,0.02,0.0384,2.2e9,0.55,Gmsh,Lesicar,Z,Yes,0.2176,3901931477.7598724,0.362549965644792,0.03945380130031606,0.12006827483746049,0.3389011118138789,0.37835491311419495,1486785362.7234201,3901931477.7598724,0.362549965644792,1486785362.7234201
STEEP_z955_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0584,0.045,0.02,0.0384,2.2e9,0.55,Gmsh,Lesicar,Z,Yes,0.2176,3974936473.98636,0.35732944978038006,0.028323096672016268,0.12145961291599797,0.3659024047875125,0.3942255014595288,1351511100.9614096,3974936473.98636,0.35732944978038006,1351511100.9614096
STEEP_z970_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0705,0.045,0.02,0.0505,2.2e9,0.50,Gmsh,Lesicar,Z,Yes,0.2865,3559813917.5030932,0.36282219255193215,0.04514432535756652,0.11935695933030419,0.3729367521635906,0.41808107752115714,1237522443.4849427,3559813917.5030932,0.36282219255193215,1237522443.4849427
STEEP_z970_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0705,0.045,0.02,0.0505,2.2e9,0.50,Gmsh,Lesicar,Z,Yes,0.2865,3784597337.389131,0.36623867175860797,0.026565098359183636,0.12167936270510205,0.350418023634925,0.37698312199410866,1498954465.4420812,3784597337.389131,0.36623867175860797,1498954465.4420812
STEEP_z970_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0705,0.045,0.02,0.0505,2.2e9,0.50,Gmsh,Lesicar,Z,Yes,0.2865,3793460273.0159307,0.36170208249619556,0.020718068053935168,0.1224102414932581,0.3709114384030352,0.39162950645697037,1370619579.4104493,3793460273.0159307,0.36170208249619556,1370619579.4104493
STEEP_z985_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0829,0.045,0.02,0.0629,2.2e9,0.45,Gmsh,Lesicar,Z,Yes,0.3561,3576700374.592938,0.36070674647782386,0.025865147982901293,0.12176685650213734,0.37442010977170614,0.40028525775460744,1277530832.5416105,3576700374.592938,0.36070674647782386,1277530832.5416105
STEEP_z985_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0829,0.045,0.02,0.0629,2.2e9,0.45,Gmsh,Lesicar,Z,Yes,0.3561,3262042226.3131886,0.37044716046492965,0.042431497172341404,0.11969606285345732,0.3961802729950637,0.4386117701674051,1117839275.3433428,3262042226.3131886,0.37044716046492965,1117839275.3433428
STEEP_z985_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0829,0.045,0.02,0.0629,2.2e9,0.45,Gmsh,Lesicar,Z,Yes,0.3561,3492514007.7825127,0.3677363940540105,0.03967553297094617,0.12004055837863173,0.36090693883456254,0.4005824718055087,1305858707.6450272,3492514007.7825127,0.3677363940540105,1305858707.6450272
STEEP_z995_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.091,0.045,0.02,0.071,2.2e9,0.42,Gmsh,Lesicar,Z,Yes,0.402,3220964529.679151,0.3672444594925754,0.039077207170801875,0.12011534910364977,0.4020645544660276,0.4411417616368295,1140156436.1923573,3220964529.679151,0.3672444594925754,1140156436.1923573
